type,id,project_id,submitter_id,assay_instrument,assay_instrument_model,assay_method,assay_instrument_mode,assay_kit_name,assay_kit_vendor,assay_kit_version,cell_concentration,cell_count,experimental_step,molecular_concentration,analytes.id,analytes.submitter_id
quantification_assay,0b0d2106-ec51-4303-9a8a-04a3d7b277a2,bpa-USC_OPT1_T1,088421_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,31.39232388,,,31.39232388,0493bd67-fbd0-4606-b6be-4e2f713d2f9b,088421_ctc_low_concentration
quantification_assay,52da3930-abe2-412a-b310-7a9541325a31,bpa-USC_OPT1_T1,088421_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,1.207397072,,,1.207397072,38308564-5f02-4538-aff2-ed383f70b381,088421_ctc_small_concentration
quantification_assay,ce4bbb5e-d03e-463d-950f-860344a93c89,bpa-USC_OPT1_T1,088422_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,5400000,,,16bb4df9-e270-495a-af99-1d323a0e0165,088422_wbc_count
quantification_assay,06852a03-e9c5-43db-9a41-8de704f979ad,bpa-USC_OPT1_T1,088422_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2929950,,,5c66a53c-9e80-45b4-b6dd-15b80d311ca2,088422_nucleated_count
quantification_assay,d30ead91-c48f-46dc-ae56-d79741288e6a,bpa-USC_OPT1_T1,088422_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,fcd525d6-53a1-40eb-9b0f-36a6dbe8faac,088422_ctc_concentration
quantification_assay,d1e3fb08-2695-4290-87fe-a0af777dfd0c,bpa-USC_OPT1_T1,088422_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,31.39232388,,,31.39232388,b3e86fad-97e0-420d-a33f-a523bd10b6b0,088422_ctc_low_concentration
quantification_assay,3a8ff4f6-1cde-427c-8799-1178ea043a6e,bpa-USC_OPT1_T1,088422_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,1.207397072,,,1.207397072,3ce6834c-24e2-44bc-9c2b-0f89284768d2,088422_ctc_small_concentration
quantification_assay,d16a8d53-34b0-46f6-b8c9-3d7950760d93,bpa-USC_OPT1_T1,094821_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,4099999,,,80068eb9-3380-4712-a718-86c25e04c537,094821_wbc_count
quantification_assay,eaff0b18-6a3d-49af-88a8-3548ab8c9215,bpa-USC_OPT1_T1,094821_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2509740,,,0495c378-3a49-4cea-9dd5-91d85c642254,094821_nucleated_count
quantification_assay,6ee7bae7-17fe-4b1c-ac40-532e50f50392,bpa-USC_OPT1_T1,094821_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,8b321575-7e34-4de7-8515-938ee45e6082,094821_ctc_concentration
quantification_assay,e1be96d9-8b62-479d-9f5d-eec77f1a8598,bpa-USC_OPT1_T1,094821_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,7.034801084,,,7.034801084,ac427fa8-3c19-468c-8954-ae065e11b80e,094821_ctc_low_concentration
quantification_assay,1b93990e-56e2-4574-9096-39755f63f7b0,bpa-USC_OPT1_T1,094821_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,2.638050406,,,2.638050406,54a12a7c-1a80-409a-a9e4-1a6588dea5c3,094821_ctc_small_concentration
quantification_assay,6657b0db-29d2-4ab0-b26b-e77a02da72ca,bpa-USC_OPT1_T1,094822_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,4099999,,,02396f13-1031-4c6f-9e71-dbb51a3ed5f0,094822_wbc_count
quantification_assay,72f87fee-1b77-4563-9e12-c449bdeb6853,bpa-USC_OPT1_T1,094822_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2509740,,,a120a3b1-0c5d-43e6-8d0e-9218a1d59cf4,094822_nucleated_count
quantification_assay,37a54b6d-20b7-45fa-b60b-f1377c35a13f,bpa-USC_OPT1_T1,094822_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,c6f3787c-13be-4474-88b2-b0aa7929a32d,094822_ctc_concentration
quantification_assay,baaf38e1-ed50-4b93-b6f4-00f0abb41d40,bpa-USC_OPT1_T1,094822_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,7.034801084,,,7.034801084,f0a30fc8-4a16-4d05-8a99-dd8264bffe25,094822_ctc_low_concentration
quantification_assay,174e57e5-d86c-4c3f-8a54-3b496f9e6859,bpa-USC_OPT1_T1,094822_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,2.638050406,,,2.638050406,9bdafc39-abd1-4ed8-b62f-3bcf74baa90d,094822_ctc_small_concentration
